,0
0,52.9215525461147
1,64.55123657244307
2,67.27015120976893
3,64.19192688826902
4,68.01181162109131
5,68.62688917205023
6,64.4599956169759
7,72.72006217466017
8,72.78971198157465
9,65.97991311075336
10,69.01511976008162
11,69.18657223943435
12,68.6597403344635
13,66.5979933362588
14,69.86971403732585
15,66.65269842057424
