,0
0,67.79237670690236
1,67.79237670690236
2,71.58919825926752
3,71.58919825926752
4,71.58919825926752
5,71.58919825926752
6,72.78971198157465
7,72.78971198157465
8,72.78971198157465
9,70.57114700830807
10,70.57114700830807
11,72.78971198157465
12,72.78971198157465
13,72.78971198157465
14,72.78971198157465
15,72.77653642210497
16,72.77653642210497
17,72.77653642210497
18,72.77653642210497
19,72.40854540285095
20,72.40854540285095
21,72.40854540285095
22,72.40854540285095
23,72.40854540285095
24,71.53594022188364
25,71.53594022188364
26,71.53594022188364
27,69.34506620478305
28,71.17634355424047
29,71.17634355424047
30,71.17634355424047
31,72.78971198157465
32,72.78971198157465
33,68.64111181776775
34,66.3121180803849
35,66.3121180803849
36,70.8697497031768
37,70.8697497031768
38,70.8697497031768
39,69.81004201847473
40,69.81004201847473
41,69.81004201847473
42,72.78971198157465
43,72.78971198157465
44,72.4404856984168
45,72.4404856984168
46,72.78971198157465
47,72.78971198157465
48,69.09658534821844
49,69.09658534821844
50,69.09658534821844
51,68.49685153340815
52,68.49685153340815
