,0
0,49.07169166330759
1,49.07169166330759
2,59.79734241061015
3,59.79734241061015
4,59.79734241061015
5,59.79734241061015
6,61.13949536581993
7,61.13949536581993
8,61.13949536581993
9,59.456629054680135
10,59.456629054680135
11,55.8665234163005
12,55.8665234163005
13,55.8665234163005
14,55.8665234163005
15,61.13949536581993
16,61.13949536581993
17,61.13949536581993
18,61.13949536581993
19,60.75410222076678
20,60.75410222076678
21,60.75410222076678
22,60.75410222076678
23,60.75410222076678
24,57.82453201441231
25,57.82453201441231
26,57.82453201441231
27,58.88854606907606
28,59.953191663697545
29,59.953191663697545
30,59.953191663697545
31,59.421399655869855
32,59.421399655869855
33,61.13949536581993
34,59.307984308580025
35,59.307984308580025
36,59.747300875813174
37,59.747300875813174
38,59.747300875813174
39,61.13949536581993
40,61.13949536581993
41,61.13949536581993
42,57.745686930541844
43,57.745686930541844
44,61.13949536581993
45,61.13949536581993
46,60.26374304125357
47,60.26374304125357
48,59.749336192695175
49,59.749336192695175
50,59.749336192695175
51,58.808577693134104
52,58.808577693134104
